text,n_instances,mean_complexity,genre,epoche,date
"Turin, Museo Egizio, CGT 57447",3,3890,Kemit,Neues Reich,-1182
"London, Petrie Museum of Egyptian Archaeology, UC 32197",1,3870,Brief,Mittleres Reich,-1879
"London, Petrie Museum of Egyptian Archaeology, 32158",7,3855.71428571429,Erzählung,Mittleres Reich,-1802
"London, British Museum, EA 10246 (1-5)",6,3849.5,Literarischer Text,Neues Reich,-1210.5
"London, Petrie Museum of Egyptian Archaeology, 46283",1,3829,nicht spezifiziert,Neues Reich,-1342.5
"London, British Museum, EA 10243",3,3823.66666666667,nicht spezifiziert,Neues Reich,-1208
"P. Strasbourg Eo",1,3814,nicht spezifiziert,Altes Reich,-2263
"London, Petrie Museum of Egyptian Archaeology, UC 38178 A",2,3812.5,Juristische Urkunde,Neues Reich,-1357.5
"Kairo, Ägyptisches Museum, CG 25207",2,3810.5,nicht spezifiziert,Neues Reich,-1309.5
"Kairo, Institut français d’archéologie orientale, 2546",7,3809,Kemit,Neues Reich,-1182
"New York City, Metropolitan Museum of Art, 14.1.455 + 457",17,3806.82352941176,Kemit,Neues Reich,-1182
"Tally Stone of mꜣꜤ.t-kꜣ-rꜤ 1",1,3768,nicht spezifiziert,Neues Reich,-1465.5
"P. Strasbourg Cf",1,3762,nicht spezifiziert,Altes Reich,-2263
"Kairo, Ägyptisches Museum, JE 26230",40,3735.975,Totenbuch,Dritte Zwischenzeit,-973.5
"Turin, Museo Egizio, CGT 57003 vo",3,3732,Hymnus im Götterkult,Neues Reich,-1182
"Straßburg, Bibliothèque nationale et universitaire de Strasbourg, H 150",3,3722,Kemit,Neues Reich,-1182
"London, Petrie Museum of Egyptian Archaeology, 32201",1,3715,Brief,Mittleres Reich,-1802
"P. Strasbourg G",8,3713.375,nicht spezifiziert,Altes Reich,-2263
"London, Petrie Museum of Egyptian Archaeology, UC 32198",1,3710,nicht spezifiziert,Mittleres Reich,-1879
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 3057",22,3703.13636363636,Verklärungen,Griechisch-römische Zeit,-181
"Kairo, Ägyptisches Museum, CG 4748",1,3698,Administrativer Text,Neues Reich,-1344
"London, British Museum, EA 10274 vo",2,3693.5,Literarischer Text,Mittleres Reich,-1879
"Oxford, Ashmolean Museum, ANAsh.Mus.H.O.1191",53,3691.84905660377,Kemit,Neues Reich,-1199.5
"P. Strasbourg Eg",1,3684,nicht spezifiziert,Altes Reich,-2263
"London, Petrie Museum of Egyptian Archaeology, UC 32209",1,3674,Brief,Mittleres Reich,-1817.5
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 3023 New York City, Pierpont Morgan Library, Amh. Egy. Pap. 1",63,3669.66666666667,Erzählung,Mittleres Reich,-1808.5
"D. Hatnub 10",1,3665,nicht spezifiziert,Erste Zwischenzeit,-1905
"London, British Museum, EA 10222",29,3651.27586206897,Literarischer Text,Neues Reich,-1309.5
"New York City, Pierpont Morgan Library, Amh. Egy. Pap. 6",16,3650.5,Gerichtsurkunde/Zeugenaussage,Neues Reich,-1110.5
"Kairo, Institut français d’archéologie orientale, 2590",6,3648.16666666667,Kemit,Neues Reich,-1182
"P. Strasbourg Dg",1,3646,nicht spezifiziert,Altes Reich,-2263
"D. Hatnub 28",3,3632.33333333333,nicht spezifiziert,Erste Zwischenzeit,-2092.5
"Kairo, Ägyptisches Museum, JE 25975",17,3623.94117647059,Totenbrief,Altes Reich,-2263
"Kairo, Institut français d’archéologie orientale, 223",1,3622,Administrativer Text,Neues Reich,-1158
"D. Hatnub 3",6,3598.83333333333,Biographischer Text,Altes Reich,-2231
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 3013 A-B",3,3587.33333333333,Totenbuch,Dritte Zwischenzeit,-892
"Chicago, Institute for the Study of Ancient Cultures Museum, E25348",18,3580.27777777778,Kemit,Neues Reich,-1309.5
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 3055",70,3574.31428571429,Ritualtext im Götterkult,Dritte Zwischenzeit,-830
